Elapsed time,vals
1.914,-1.484
1.916,-0.234
1.918,0.066
1.92,0.245
1.922,0.404
1.924,0.096
1.926,1.541
1.928,2.12
1.93,4.835
1.932,4.879
1.934,7.199
1.936,9.218
1.938,9.611
1.94,9.667
1.942,9.62
1.944,9.259
1.946,8.139
1.948,7.225
1.95,5.167
1.952,3.635
1.954,2.003
1.956,0.06
1.958,-1.684
1.96,-3.163
1.962,-4.86
1.964,-5.399
1.966,-6.048
1.968,-5.396
1.97,-3.623
1.972,-0.641
1.974,2.855
1.976,6.57
1.978,9.825
1.98,11.787
1.982,12.566
1.984,11.156
1.986,9.245
1.988,7.11
1.99,5.02
1.992,3.014
1.994,2.136
1.996,2.591
1.998,2.877
2,3.671
2.002,3.433
2.004,2.728
2.006,1.628
2.008,0.288
2.01,-1.454
2.012,-3.083
2.014,-4.766
2.016,-5.622
2.018,-5.856
2.02,-7.309
2.022,-7.584
2.024,-8.367
2.026,-7.54
2.028,-7.217
2.03,-6.655
2.032,-6.813
2.034,-7.414
2.036,-7.793
2.038,-7.894
2.04,-6.827
2.042,-6.137
2.044,-3.83
2.046,-1.496
2.048,-0.357
2.05,-0.918
2.052,-2.25
2.054,-5.223
2.056,-7.599
2.058,-9.784
2.06,-10.052
2.062,-9.724
2.064,-7.07
2.066,-4.781
2.068,-2.302
2.07,-0.562
2.072,-0.229
2.074,-0.767
2.076,-2.871
2.078,-4.676
2.08,-6.531
2.082,-9.129
2.084,-10.395
2.086,-11.983
2.088,-12.438
2.09,-13.405
2.092,-13.731
2.094,-14.94
2.096,-16.021
2.098,-16.427
2.1,-17.688
2.102,-18.795
2.104,-19.106
2.106,-17.676
2.108,-16.975
2.11,-14.831
2.112,-11.76
2.114,-8.761
2.116,-4.778
2.118,-3.082
2.12,-2.406
2.122,-3.146
2.124,-4.704
2.126,-7.592
2.128,-10.386
2.13,-11.88
2.132,-12.649
2.134,-12.654
2.136,-11.031
2.138,-8.815
2.14,-6.128
2.142,-4.29
2.144,-2.533
2.146,-2.56
2.148,-3.105
2.15,-4.051
2.152,-5.003
2.154,-5.59
2.156,-5.132
2.158,-4.089
2.16,-3.996
2.162,-3.643
2.164,-3.458
2.166,-3.931
2.168,-4.464
2.17,-4.9
2.172,-5.15
2.174,-4.786
2.176,-4.645
2.178,-3.55
2.18,-2.091
2.182,-0.942
2.184,0.295
2.186,1.19
2.188,1.952
2.19,2.406
2.192,2.82
2.194,2.588
2.196,1.471
2.198,-0.53
2.2,-3.571
2.202,-6.895
2.204,-10.566
2.206,-13.226
2.208,-14.797
2.21,-16.735
2.212,-16.906
2.214,-18.142
2.216,-19.365
2.218,-18.983
2.22,-19.395
2.222,-18.742
2.224,-17.78
2.226,-16.837
2.228,-16.166
2.23,-16.189
2.232,-17.551
2.234,-18.688
2.236,-19.589
2.238,-20.936
2.24,-21.373
2.242,-20.409
2.244,-18.859
2.246,-16.615
2.248,-13.572
2.25,-10.03
2.252,-6.51
2.254,-4.002
2.256,-2.854
2.258,-2.643
2.26,-2.601
2.262,-3.795
2.264,-4.267
2.266,-5.285
2.268,-6.091
2.27,-6.147
2.272,-5.241
2.274,-7.414
2.276,-6.79
2.278,-6.916
2.28,-6.616
2.282,-5.95
2.284,-5.105
2.286,-4.609
2.288,-4.953
2.29,-5.541
2.292,-6.565
2.294,-7.663
2.296,-8.685
2.298,-9.148
2.3,-9.112
2.302,-8.473
2.304,-7.61
2.306,-6.798
2.308,-6.058
2.31,-5.838
2.312,-5.105
2.314,-4.806
2.316,-4.051
2.318,-3.065
2.32,-2.147
2.322,-1.005
2.324,-0.207
2.326,0.059
2.328,-0.354
2.33,-0.319
2.332,-1.061
2.334,-2.383
2.336,-3.979
2.338,-5.861
2.34,-7.995
2.342,-9.698
2.344,-10.674
2.346,-10.581
2.348,-8.849
2.35,-6.44
2.352,-2.561
2.354,1.754
2.356,5.928
2.358,9.823
2.36,12.188
2.362,13.587
2.364,12.821
2.366,10.866
2.368,9.233
2.37,6.67
2.372,5.119
2.374,3.749
2.376,3.857
2.378,4.181
2.38,4.414
2.382,4.321
2.384,4.177
